PartNumber,Material,Mu,AL,Ae,Wa,Le,PartCost,Vendor,MaxCurrent_A,MaxFreq_kHz
0077440A7,Kool Mu,26,59,199,427,107,8.50,Magnetics,8,200
0054035,Kool Mu,75,125,46,33,113,5.00,Magnetics,3,250
0077438,Kool Mu,26,59,119,256,97,6.75,Magnetics,6,200
0055500,Powder Iron,125,40,74,58,119,4.25,Magnetics,10,50
0077439,Kool Mu,26,59,159,344,104,7.25,Magnetics,7,200
0077437,Kool Mu,26,59,79,171,88,5.50,Magnetics,4,220
0054044,Kool Mu,125,125,57,68,125,6.50,Magnetics,5,180
0055610,Powder Iron,160,50,159,299,161,9.75,Magnetics,14,40
0077441,Kool Mu,26,59,279,600,120,10.50,Magnetics,12,200
0054035L,Kool Mu,75,125,76,62,126,6.50,Magnetics,4,250
0055601,Powder Iron,125,40,249,316,185,15.00,Magnetics,18,50
0077440,Kool Mu,26,59,159,271,103,7.00,Magnetics,8,210
0054003,Kool Mu,125,125,34,23,103,4.50,Magnetics,2,300
0055500F,Powder Iron,160,50,249,399,215,16.50,Magnetics,20,45
0077442,Kool Mu,26,59,359,800,135,12.50,Magnetics,15,195
0077443,Powder Iron,90,40,319,599,200,18.00,Magnetics,22,45
