MaterialName,A,B,C,D,Vendor,DatasheetUrl
75-Series 26,0.01,5.82217231592947e-07,1.658586668319265,0.0,Magnetics,https://www.mag-inc.com/getattachment/Products/Powder-Cores/75-Series-Cores/Magnetics-75-Series-Powder-Cores-(1).pdf
75-Series 40,0.01,1.3584193306867299e-06,1.650840464696743,0.0,Magnetics,https://www.mag-inc.com/getattachment/Products/Powder-Cores/75-Series-Cores/Magnetics-75-Series-Powder-Cores-(1).pdf
75-Series 60,0.01,1.1010311917147724e-06,1.818949624018169,0.0,Magnetics,https://www.mag-inc.com/getattachment/Products/Powder-Cores/75-Series-Cores/Magnetics-75-Series-Powder-Cores-(1).pdf
Edge 125,0.01,1.2288762264951619e-09,3.419022582702909,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 14,0.01,1.1728541393616908e-11,3.10628371950539,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 19,0.01,6.39341078141801e-11,2.949539694713896,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 26,0.01,3.6455655264513e-11,3.192126405849248,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 40,0.01,2.5917255804227508e-09,2.683025347976764,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 60,0.01,9.202377733735453e-10,3.043619851825779,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 75,0.01,1.5801636506699284e-09,3.067123868235906,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
Edge 90,0.01,1.8463289341525403e-09,3.137599813434331,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Edge-Cores/Edge-Material-Curves
FS 14,0.01,2.6000000000024257e-07,1.55729320656201,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/de/ac/deace03f-92d7-4f71-b3e6-97b59c087282/fs-014-datasheet.pdf
FS 26,0.01,9.209538571561548e-08,1.91230276255053,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/7b/1c/7b1cf679-54f4-4dab-9086-7abe89c99eab/fs-026-datasheet.pdf
FS 40,0.01,6.313737436018697e-08,2.15134267301483,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/70/1a/701aadca-90e3-4b18-869e-1cc2b10f7a40/fs-040-datasheet.pdf
FS 60,0.01,1.9493913736214112e-07,2.09904436601059,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/8e/6e/8e6e0031-59d6-4472-95dd-a3af39833dcf/fs-060-datasheet.pdf
FS 75,0.01,1.45189730115257e-07,2.32981169934089,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/9f/b1/9fb1f05b-d633-4148-8cb4-bba4da7c03dc/fs-075-datasheet.pdf
FS 90,0.01,9.71872103537542e-07,1.99547686952747,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/3c/2f/3c2faa9d-d3e9-4ce4-84e4-824d389903b6/fs-090-datasheet.pdf
GX 125,0.01,4.575663944083119e-07,2.25924129196039,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/60/1a/601abbc2-caa6-4a42-ae32-e19c7e902a10/gx-125-datasheet.pdf
GX 60,0.01,3.67646e-09,2.8065,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/5b/79/5b79c229-28a9-4b6a-bcd8-9f56931c66d7/gx-060-datasheet.pdf
HF 125,0.01,2.848336852604587e-07,2.37135410402686,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/2f/a9/2fa91cd9-48fe-40dc-bc5a-a00b7c3929b2/hf-125-datasheet.pdf
HF 14,0.01,8.98783713063644e-08,1.78366359326977,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/4c/fd/4cfd0e46-cf2c-43db-9b36-bd2ddd5941f9/hf-014-datasheet.pdf
HF 147,0.01,1.2478884851211215e-06,2.16892410096653,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/bb/38/bb38aea1-e3fc-4961-9789-f8c62dcdeace/hf-147-datasheet.pdf
HF 160,0.01,1.4344299037582028e-06,2.16892410096653,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/70/a1/70a19fb2-1e3f-4bff-b359-53a176a92cc2/hf-160-datasheet.pdf
HF 26,0.01,1.56826992249496e-07,1.83354042886185,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/be/04/be044006-f985-438c-a104-2748053d0a59/hf-026-datasheet.pdf
HF 40,0.01,5.45e-08,2.195,0.0,Micrometals,
HF 60,0.01,1.6723539831042542e-07,2.11089867428021,0.0,Micrometals,https://s3.amazonaws.com/micrometals-production/filer_public/4f/14/4f14033f-866c-4c78-bfce-afa4cb14e84c/hf-060-datasheet.pdf
HF 75,0.01,7.74e-08,2.355,0.0,Micrometals,
High Flux 125,0.01,1.4027000000020718e-07,2.465366663033853,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 14,0.01,1.6569000000024232e-09,2.441,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 147,0.01,8.154565177757475e-08,2.7138308977134473,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 160,0.01,1.6709244115397e-07,2.571991393701863,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 26,0.01,4.20470000000611e-09,2.426,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 40,0.01,1.8434466820771582e-08,2.358499169678752,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 60,0.01,6.412600000008788e-08,2.290504771041697,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
High Flux 75,0.01,4.883754615319801e-08,2.4407276777761933,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/High-Flux-Cores/High-Flux-Material-Curves
Kool Mµ 125,0.01,2.208735576918523e-05,1.636135798202503,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 14,0.01,4.497780000005482e-08,2.034326862,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 26,0.01,5.266213875891499e-07,1.818949624018169,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 40,0.01,2.1772688446741137e-06,1.703915585105366,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 60,0.01,2.1417191961891843e-06,1.855283246313657,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 75,0.01,3.8847047797250804e-06,1.818949624018169,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ 90,0.01,5.8295153696797024e-06,1.818949624018169,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-Cores/Kool-Mu-Material-Curves
Kool Mµ Hƒ 26,0.01,3.555649580481985e-08,2.212916454292226,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-HF-Cores/Kool-Mu-HF-Material-Curves
Kool Mµ Hƒ 40,0.01,1.2819037670568694e-07,2.169203306986408,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-HF-Cores/Kool-Mu-HF-Material-Curves
Kool Mµ Hƒ 60,0.01,4.0643787278641047e-07,2.130834392274758,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-HF-Cores/Kool-Mu-HF-Material-Curves
Kool Mµ MAX 14,0.01,8.27376770145604e-09,2.239429009172197,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-MAX-Cores/Kool-Mu-MAX-Material-Curves
Kool Mµ MAX 19,0.01,3.13564147227632e-08,2.11074536326397,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-MAX-Cores/Kool-Mu-MAX-Material-Curves
Kool Mµ MAX 26,0.01,3.4443808411248835e-08,2.2053376776478872,0.0,Magnetics,https://www.mag-inc.com/Products/Powder-Cores/Kool-Mu-MAX-Cores/Kool-Mu-MAX-Material-Curves
