MaterialName,MinFrequencyHz,MaxFrequencyHz,K,Alpha,Beta,Ct0,Ct1,Ct2
MPP 14,5000,2000000,30.008250678304428,1.316,2.103,0.0,0.0,0.0
MPP 19,5000,2000000,30.008250678304428,1.316,2.103,0.0,0.0,0.0
MPP 26,5000,2000000,12.477857900183597,1.357,2.103,0.0,0.0,0.0
MPP 40,5000,2000000,12.477857900183597,1.357,2.103,0.0,0.0,0.0
MPP 60,5000,300000,3.2451616530550713,1.449,2.103,0.0,0.0,0.0
MPP 125,5000,300000,1.2910111905604453,1.561,2.103,0.0,0.0,0.0
MPP 147,5000,300000,0.9080825020775763,1.598,2.103,0.0,0.0,0.0
MPP 160,5000,300000,0.9080825020775763,1.598,2.103,0.0,0.0,0.0
MPP 173,5000,300000,0.9080825020775763,1.598,2.103,0.0,0.0,0.0
MPP 200,5000,300000,0.7211990606271461,1.624,2.103,0.0,0.0,0.0
MPP 300,5000,300000,0.7211990606271461,1.624,2.103,0.0,0.0,0.0
MPP 550,5000,300000,0.8682989837070402,1.645,2.103,0.0,0.0,0.0
Kool Mµ 14,5000,2000000,0.6980196045220965,1.541,1.988,0.0,0.0,0.0
Kool Mµ 26,5000,2000000,0.7675833330273703,1.541,1.988,0.0,0.0,0.0
Kool Mµ 40,5000,2000000,0.7675833330273703,1.541,1.988,0.0,0.0,0.0
Kool Mµ 60,5000,2000000,0.959360050310745,1.541,1.988,0.0,0.0,0.0
Kool Mµ 90,5000,2000000,0.959360050310745,1.541,1.988,0.0,0.0,0.0
Kool Mµ Hƒ 26,5000,2000000,1.128531570274876,1.401,1.602,0.0,0.0,0.0
Kool Mµ Hƒ 40,5000,2000000,0.9831571536708941,1.401,1.602,0.0,0.0,0.0
Kool Mµ Hƒ 60,5000,2000000,1.128531570274876,1.401,1.602,0.0,0.0,0.0
Kool Mµ MAX 26,5000,2000000,0.7675833330273703,1.541,1.988,0.0,0.0,0.0
Kool Mµ MAX 40,5000,2000000,0.7675833330273703,1.541,1.988,0.0,0.0,0.0
Kool Mµ MAX 60,5000,2000000,0.8635908076425256,1.541,1.988,0.0,0.0,0.0
Kool Mµ Ultra 26,5000,2000000,5.233841684434326,1.334,1.988,0.0,0.0,0.0
Kool Mµ Ultra 40,5000,2000000,2.594691525682521,1.399,1.988,0.0,0.0,0.0
Edge 26,5000,2000000,2.792733345384405,1.519,2.263,0.0,0.0,0.0
Edge 40,5000,2000000,1.454326518587787,1.547,2.263,0.0,0.0,0.0
Edge 60,5000,2000000,1.454326518587787,1.547,2.263,0.0,0.0,0.0
XFlux 26,5000,2000000,76.12890732998345,1.194,2.015,0.0,0.0,0.0
XFlux 40,5000,2000000,101.50433704564188,1.194,2.015,0.0,0.0,0.0
XFlux 60,5000,2000000,114.1946700864793,1.194,2.015,0.0,0.0,0.0
XFlux Ultra 26,5000,2000000,71.11977356098198,1.236,2.015,0.0,0.0,0.0
XFlux Ultra 40,5000,2000000,144.8153385904838,1.19,2.015,0.0,0.0,0.0
High Flux 60,5000,300000,0.8180163011162914,1.652,2.218,0.0,0.0,0.0
